category,subcategory
Auto & Transport,Auto Insurance
Auto & Transport,Auto Payment
Auto & Transport,Gas & Fuel
Auto & Transport,Parking
Auto & Transport,Public Transportation
Auto & Transport,Service & Parts
Bills & Utilities,Home Phone
Bills & Utilities,Internet
Bills & Utilities,Mobile Phone
Bills & Utilities,Television
Bills & Utilities,Utilities
Business Services,Advertising
Business Services,Legal
Business Services,Office Supplies
Business Services,Printing
Business Services,Shipping
Education,Books & Supplies
Education,Student Loan
Education,Tuition
Entertainment,Amusement
Entertainment,Arts
Entertainment,Movies & DVDs
Entertainment,Music
Entertainment,Newspapers & Magazines
Fees & Charges,ATM Fee
Fees & Charges,Bank Fee
Fees & Charges,Finance Charge
Fees & Charges,Late Fee
Fees & Charges,Service Fee
Fees & Charges,Trade Commissions
Financial,Financial Advisor
Financial,Life Insurance
Food & Dining,Alcohol & Bars
Food & Dining,Coffee Shops
Food & Dining,Fast Food
Food & Dining,Groceries
Food & Dining,Restaurants
Gifts & Donations,Charity
Gifts & Donations,Gift
Health & Fitness,Dentist
Health & Fitness,Doctor
Health & Fitness,Eyecare
Health & Fitness,Gym
Health & Fitness,Health Insurance
Health & Fitness,Pharmacy
Health & Fitness,Sports
Home,Furnishings
Home,Home Improvement
Home,Home Insurance
Home,Home Services
Home,Home Supplies
Home,Lawn & Garden
Home,Mortgage & Rent
Income,Bonus
Income,Interest Income
Income,Paycheck
Income,Reimbursement
Income,Rental Income
Income,Returned Purchase
Kids,Allowance
Kids,Baby Supplies
Kids,Babysitter & Daycare
Kids,Child Support
Kids,Kids Activities
Kids,Toys
Personal Care,Hair
Personal Care,Laundry
Personal Care,Spa & Massage
Pets,Pet Food & Supplies
Pets,Pet Grooming
Pets,Veterinary
Shopping,Books
Shopping,Clothing
Shopping,Electronics & Software
Shopping,Hobbies
Shopping,Sporting Goods
Taxes,Federal Tax
Taxes,Local Tax
Taxes,Property Tax
Taxes,Sales Tax
Taxes,State Tax
Transfer,Credit Card Payment
Transfer,Transfer for Cash Spending
Travel,Air Travel
Travel,Hotel
Travel,Rental Car & Taxi
Travel,Vacation
Uncategorized,Cash & ATM
Uncategorized,Check
